Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,10,6,0.614070,0.436750,0.270701,37.8939,26.9877,16.7271
Authentication,10,6,0.206757,0.012074,0.007484,12.7343,0.7454,0.4620
Key Exchange,10,6,0.146384,0.016954,0.010508,9.0203,1.0483,0.6498
