Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,10,24,0.438647,0.012237,0.007585,27.0545,0.7550,0.4679
Authentication,10,24,1.227172,0.886614,0.549529,75.7693,54.7901,33.9592
