Device_ID,Energy_J,CPU_Time_s
81,0.02767940,0.448715
82,0.01933200,0.313642
83,0.02102060,0.340968
84,0.02443560,0.396227
85,0.02354440,0.381968
86,0.02699060,0.437568
87,0.02035220,0.330168
88,0.01884520,0.305768
89,0.02020280,0.327731
90,0.01901720,0.308568
91,0.02522300,0.408968
92,0.01843740,0.299168
93,0.02034080,0.329968
94,0.02097560,0.340242
95,0.01861900,0.302168
96,0.02836260,0.459768
97,0.01811600,0.293968
98,0.01775440,0.288115
99,0.01927800,0.312768
100,0.02013060,0.326568
