Device_ID,Energy_J,CPU_Time_s
81,0.01551940,0.251472
82,0.01208320,0.195872
83,0.01204620,0.195272
84,0.01027900,0.166672
85,0.00883260,0.143272
86,0.01507440,0.244272
87,0.00994680,0.161286
88,0.01079780,0.175072
89,0.00988340,0.160272
90,0.01360440,0.220486
91,0.01451880,0.235286
92,0.01005620,0.163072
93,0.01106980,0.179472
94,0.01147240,0.185990
95,0.01344280,0.217872
96,0.01796640,0.291072
97,0.01026640,0.166472
98,0.01156480,0.187486
99,0.01155200,0.187272
100,0.00919200,0.149086
