Device_ID,Energy_J,CPU_Time_s
81,0.01305780,0.211712
82,0.01127940,0.182934
83,0.00931260,0.151112
84,0.00875680,0.142112
85,0.01041280,0.168912
86,0.01161320,0.188334
87,0.00847600,0.137571
88,0.01215560,0.197112
89,0.00951060,0.154312
90,0.00980720,0.159112
91,0.01287380,0.208734
92,0.00865760,0.140512
93,0.00945260,0.153371
94,0.00994340,0.161312
95,0.01074240,0.174312
96,0.01202100,0.194934
97,0.00949820,0.154112
98,0.00985800,0.159934
99,0.01073420,0.174112
100,0.01105700,0.179334
