Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,10,2,4.483733,3.220625,1.996164,277.0065,199.0158,123.3513
Authentication,10,2,0.179224,0.028336,0.017563,11.0289,1.7517,1.0857
Key Exchange,10,2,0.155155,0.021376,0.013249,9.5581,1.3214,0.8190
