Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,10,16,0.363857,0.017667,0.010950,22.4312,1.0920,0.6768
Authentication,10,16,1.402677,0.731221,0.453215,86.6164,45.1896,28.0088
