Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,5,3,0.559293,0.439059,0.384852,34.5016,27.1265,23.7775
Authentication,5,2,0.556579,0.059654,0.052289,34.3257,3.6924,3.2365
