Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,10,20,0.378062,0.056701,0.024850,23.310450,3.504656,1.535983
Authentication,10,20,0.873879,0.047895,0.020991,53.936645,2.960857,1.297653
