Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,10,6,0.323429,0.313388,0.194240,19.9592,19.3649,12.0025
Authentication,10,6,0.475916,0.033096,0.020513,29.3075,2.0474,1.2690
Key Exchange,10,6,0.342476,0.024131,0.014956,21.0883,1.4931,0.9254
