Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,10,10,0.059967,0.005226,0.003239,3.6791,0.3229,0.2001
Authentication,10,10,0.486591,0.016008,0.009922,29.9707,0.9889,0.6129
Key Exchange,10,10,0.347058,0.015088,0.009351,21.3738,0.9321,0.5777
