Seed,Device,Enroll_Energy_mJ,Enroll_CPU_s,Auth_Energy_mJ,Auth_CPU_s,Keyex_Energy_mJ,Keyex_CPU_s,Total_Energy_mJ,Total_CPU_s
345678,81,23.6530,0.383584,54.0140,0.875246,0.0000,0.000000,77.6670,1.258830
345678,82,19.7600,0.320584,53.6777,0.869824,0.0000,0.000000,73.4377,1.190408
345678,83,22.0460,0.357584,48.4240,0.784758,0.0000,0.000000,70.4700,1.142342
345678,84,24.7040,0.400584,52.4363,0.849602,0.0000,0.000000,77.1403,1.250186
345678,85,19.8220,0.321584,63.1727,1.023374,0.0000,0.000000,82.9947,1.344958
345678,86,21.7370,0.352584,62.9136,1.019212,0.0000,0.000000,84.6506,1.371796
345678,87,22.4170,0.363584,58.4148,0.946359,0.0000,0.000000,80.8318,1.309943
345678,88,27.5620,0.446840,58.8644,0.953513,0.0000,0.000000,86.4264,1.400353
345678,89,24.2250,0.392840,56.7901,0.919983,0.0000,0.000000,81.0151,1.312823
345678,90,24.9670,0.404840,65.7307,1.064763,0.0000,0.000000,90.6977,1.469603
345678,91,19.6360,0.318584,58.0701,0.940877,0.0000,0.000000,77.7061,1.259461
345678,92,20.8720,0.338584,62.3697,1.010474,0.0000,0.000000,83.2417,1.349058
345678,93,22.5410,0.365584,59.7015,0.967277,0.0000,0.000000,82.2425,1.332861
345678,94,23.6530,0.383584,59.1869,0.958880,0.0000,0.000000,82.8399,1.342464
345678,95,23.2980,0.377840,58.5278,0.948113,0.0000,0.000000,81.8258,1.325953
345678,96,26.5120,0.429840,66.5689,1.078303,0.0000,0.000000,93.0809,1.508143
345678,97,34.1710,0.553840,61.5599,0.997226,0.0000,0.000000,95.7309,1.551066
345678,98,35.2260,0.570840,62.8635,1.018309,0.0000,0.000000,98.0895,1.589149
345678,99,29.8490,0.483840,60.3545,0.977771,0.0000,0.000000,90.2035,1.461611
345678,100,25.0290,0.405840,65.4145,1.059486,0.0000,0.000000,90.4435,1.465326
456789,81,19.3270,0.313584,44.9604,0.728669,0.0000,0.000000,64.2874,1.042253
456789,82,22.0830,0.358168,47.4584,0.769074,0.0000,0.000000,69.5414,1.127242
456789,83,22.2320,0.360584,44.9446,0.728287,0.0000,0.000000,67.1766,1.088871
456789,84,17.2260,0.279584,47.1285,0.763689,0.0000,0.000000,64.3545,1.043273
456789,85,23.7150,0.384584,48.9143,0.792549,0.0000,0.000000,72.6293,1.177133
456789,86,20.3730,0.330584,50.6842,0.821265,0.0000,0.000000,71.0572,1.151849
456789,87,16.1140,0.261584,50.8165,0.823521,0.0000,0.000000,66.9305,1.085105
456789,88,25.9560,0.420840,47.7103,0.773055,0.0000,0.000000,73.6663,1.193895
456789,89,20.2700,0.328840,54.2125,0.878391,0.0000,0.000000,74.4825,1.207231
456789,90,23.7310,0.384840,48.1781,0.780694,0.0000,0.000000,71.9091,1.165534
456789,91,23.7770,0.385584,49.4775,0.801691,0.0000,0.000000,73.2545,1.187275
456789,92,23.2210,0.376584,60.6669,0.982908,0.0000,0.000000,83.8879,1.359492
456789,93,19.3890,0.314584,52.4544,0.850023,0.0000,0.000000,71.8434,1.164607
456789,94,20.1310,0.326584,52.5403,0.851267,0.0000,0.000000,72.6713,1.177851
456789,95,32.5060,0.526840,50.0167,0.810365,0.0000,0.000000,82.5227,1.337205
456789,96,29.8490,0.483840,52.3574,0.848217,0.0000,0.000000,82.2064,1.332057
456789,97,24.4720,0.396840,54.4219,0.881651,0.0000,0.000000,78.8939,1.278491
456789,98,31.7650,0.514840,54.6864,0.885989,0.0000,0.000000,86.4514,1.400829
456789,99,25.7700,0.417840,54.5196,0.883459,0.0000,0.000000,80.2896,1.301299
456789,100,26.5740,0.430840,55.1001,0.892611,0.0000,0.000000,81.6741,1.323451
567890,81,19.3270,0.313584,47.1683,0.764489,0.0000,0.000000,66.4953,1.078073
567890,82,18.8950,0.306584,51.4053,0.832907,0.0000,0.000000,70.3003,1.139491
567890,83,17.2010,0.279584,51.6574,0.836958,0.0000,0.000000,68.8584,1.116542
567890,84,19.2440,0.312584,55.3110,0.896165,0.0000,0.000000,74.5550,1.208749
567890,85,19.7600,0.320584,51.6583,0.836976,0.0000,0.000000,71.4183,1.157560
567890,86,22.6640,0.367584,52.8911,0.856944,0.0000,0.000000,75.5551,1.224528
567890,87,15.6190,0.253584,54.8701,0.889017,0.0000,0.000000,70.4891,1.142601
567890,88,24.7810,0.401840,51.4541,0.833571,0.0000,0.000000,76.2351,1.235411
567890,89,26.2410,0.425840,56.0801,0.908495,0.0000,0.000000,82.3211,1.334335
567890,90,29.4780,0.477840,57.2308,0.927110,0.0000,0.000000,86.7088,1.404950
567890,91,15.9280,0.258584,55.2964,0.895930,0.0000,0.000000,71.2244,1.154514
567890,92,15.0010,0.243584,49.5213,0.802437,0.0000,0.000000,64.5223,1.046021
567890,93,23.3440,0.378584,50.2000,0.813427,0.0000,0.000000,73.5440,1.192011
567890,94,24.1860,0.392584,50.6841,0.821332,0.0000,0.000000,74.8701,1.213916
567890,95,35.4730,0.574840,49.7236,0.805608,0.0000,0.000000,85.1966,1.380448
567890,96,25.8320,0.418840,66.3146,1.074150,0.0000,0.000000,92.1466,1.492990
567890,97,26.4500,0.428840,52.9506,0.857835,0.0000,0.000000,79.4006,1.286675
567890,98,26.0790,0.422840,55.8679,0.905025,0.0000,0.000000,81.9469,1.327865
567890,99,18.8490,0.305840,52.1546,0.845015,0.0000,0.000000,71.0036,1.150855
567890,100,27.2530,0.441840,51.6554,0.836884,0.0000,0.000000,78.9084,1.278724
678901,81,21.6140,0.350584,45.8312,0.742839,0.0000,0.000000,67.4452,1.093423
678901,82,24.3950,0.395584,45.9473,0.744635,0.0000,0.000000,70.3423,1.140219
678901,83,21.5520,0.349584,45.9344,0.744365,0.0000,0.000000,67.4864,1.093949
678901,84,22.6390,0.367168,52.6754,0.853442,0.0000,0.000000,75.3144,1.220610
678901,85,15.1610,0.246168,52.6419,0.852889,0.0000,0.000000,67.8029,1.099057
678901,86,21.8610,0.354584,53.4046,0.865323,0.0000,0.000000,75.2656,1.219907
678901,87,20.8720,0.338584,50.4184,0.816886,0.0000,0.000000,71.2904,1.155470
678901,88,22.9270,0.371840,48.6618,0.788421,0.0000,0.000000,71.5888,1.160261
