Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,5,8,0.381942,0.017551,0.015384,23.5474,1.0830,0.9493
Authentication,5,8,1.601446,1.238695,1.085764,98.8962,76.5536,67.1022
