Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,10,16,0.378440,0.010718,0.006643,23.3350,0.6615,0.4100
Authentication,10,16,0.270715,0.008591,0.005325,16.6875,0.5305,0.3288
Key Exchange,10,16,0.204134,0.009763,0.006051,12.5895,0.6035,0.3740
