Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,5,20,0.378354,0.014046,0.012312,23.3299,0.8668,0.7598
Authentication,5,20,0.276885,0.010520,0.009221,17.0685,0.6504,0.5701
Key Exchange,5,20,0.208054,0.013992,0.012264,12.8317,0.8644,0.7577
