Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,10,20,0.120642,0.004365,0.002705,7.4277,0.2699,0.1673
Authentication,10,20,0.654215,0.013433,0.008326,40.3295,0.8302,0.5146
Key Exchange,10,20,0.469955,0.011383,0.007055,28.9686,0.7037,0.4362
