Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,10,3,0.311681,0.023923,0.014828,19.2061,1.4786,0.9164
Authentication,10,3,0.154400,0.011017,0.006829,9.5143,0.6827,0.4231
Key Exchange,10,3,0.156876,0.015680,0.009719,9.6717,0.9702,0.6013
