Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,5,20,0.214874,0.003942,0.003455,13.2488,0.2436,0.2135
Authentication,5,20,0.721346,0.011832,0.010371,44.4768,0.7311,0.6409
Key Exchange,5,20,0.543182,0.010177,0.008921,33.4928,0.6289,0.5513
