Bar,Seeds,Avg_Devices,Avg_CPU_s,Std_CPU_s,Avg_Energy_mJ,Std_Energy_mJ
Normal,5,19.2,46.591110,2.431745,2878.9616,150.2892
Recovery,5,19.2,49.250963,2.014727,3043.1222,124.5129
