Device_ID,ENROLL_cpu_s,ROUND1_cpu_s,ROUND2_cpu_s,ROUND3_cpu_s,ROUND4_cpu_s,ENROLL_energy_j,ROUND1_energy_j,ROUND2_energy_j,ROUND3_energy_j,ROUND4_energy_j
81,53.04162400,0.67971200,0.23405600,1.24528000,0.54666400,3.27773300,0.04187500,0.01441700,0.07681200,0.03371200
82,54.40062400,0.70971200,0.26905600,1.85611200,0.92083200,3.36167800,0.04378600,0.01660200,0.11456100,0.05681200
83,54.74562400,1.15271200,0.24105600,2.03876000,0.54818400,3.38306600,0.07103400,0.01487100,0.12582900,0.03380400
84,59.45262400,0.62071200,0.26705600,1.60294400,1.14700000,3.67393700,0.03828200,0.01647800,0.09885100,0.07080600
85,65.30262400,0.83471200,0.37405600,5.25794400,0.62400000,4.03542200,0.05147100,0.02309100,0.32475200,0.03847000
86,51.45237600,0.75696000,0.57644800,1.97355200,0.74800000,3.17953300,0.04660500,0.03551300,0.12172300,0.04615300
87,29.55762400,1.07271200,0.31305600,1.72994400,0.60133600,1.82643000,0.06622000,0.01932100,0.10666200,0.03707000
88,62.55424800,0.82208800,0.29781600,1.74918400,0.95600000,3.86548000,0.05071200,0.01837900,0.10794900,0.05893600
89,28.02262400,0.72971200,0.32805600,1.59794400,0.58433600,1.73153300,0.04500300,0.02024100,0.09856600,0.03603800
90,22.70662400,0.48371200,0.18905600,1.77833600,0.48833600,1.40311000,0.02979800,0.01165800,0.10973300,0.03010500
91,47.45162400,nan,0.25100000,1.31112000,nan,2.93223600,nan,0.01548600,0.08090500,nan
92,23.31356800,1.05776800,0.42044800,1.44533600,0.67533600,1.44060700,0.06523200,0.02595800,0.08915600,0.04157600
93,49.91462400,1.04227200,0.56249600,2.04894400,0.92700000,3.08445200,0.06433900,0.03466800,0.12639600,0.05715200
94,53.04062400,0.60471200,0.23905600,1.41594400,0.63660800,3.27763900,0.03729700,0.01474800,0.08733500,0.03926900
95,65.39262400,0.64571200,0.24305600,1.26494400,0.51900000,4.04091900,0.03982700,0.01499500,0.07802700,0.03200000
96,56.55262400,0.78371200,0.31405600,1.77694400,0.77233600,3.49471500,0.04836000,0.01938300,0.10957800,0.04765200
97,30.92062400,0.56871200,0.31239200,1.34833600,0.73233600,1.91070200,0.03507300,0.01925900,0.08318100,0.04518500
98,27.43462400,0.56371200,0.24539200,2.28812000,0.55833600,1.69527900,0.03476400,0.01513900,0.14119800,0.03443100
99,47.42162400,0.71371200,0.45005600,1.40533600,0.51533600,2.93036700,0.04402900,0.02774700,0.08670300,0.03177400
100,54.78962400,3.89771200,0.21505600,4.44033600,0.43033600,3.38574700,0.24076200,0.01326500,0.27421900,0.02652100
