Device_ID,ENROLL_cpu_s,ROUND1_cpu_s,ROUND2_cpu_s,ROUND3_cpu_s,ROUND4_cpu_s,ENROLL_energy_j,ROUND1_energy_j,ROUND2_energy_j,ROUND3_energy_j,ROUND4_energy_j
81,46.33762400,0.78771200,0.39405600,1.82876000,0.49918400,2.86339100,0.04856700,0.02433100,0.11281700,0.03077100
82,52.46762400,0.70471200,0.28105600,1.13794400,0.64500000,3.24226700,0.04347900,0.01734300,0.07017800,0.03978700
83,50.28324800,0.62342400,0.24772000,5.21194400,0.77400000,3.10720800,0.03845400,0.01528300,0.32192400,0.04775900
84,57.23062400,1.10571200,0.22905600,1.79694400,0.65400000,3.53660800,0.06825500,0.01413000,0.11088100,0.04033900
85,31.07262400,4.79671200,0.28705600,1.05428000,0.73366400,1.92009100,0.29632200,0.01771400,0.06500400,0.04524700
86,65.48006400,0.89627200,0.29005600,1.35194400,0.52100000,4.04635700,0.05531600,0.01789500,0.08338000,0.03212400
87,51.33862400,1.01533600,0.41743200,11.44694400,0.77100000,3.17246500,0.06267400,0.02577100,0.70720200,0.04757400
88,28.18062400,0.66671200,0.21144800,1.30855200,1.00333600,1.74133200,0.04110800,0.01304200,0.08069600,0.06193200
89,52.99862400,0.82971200,0.28605600,1.52275200,0.89919200,3.27508300,0.05110600,0.01765200,0.09386200,0.05547700
90,46.87562400,0.66271200,0.26005600,1.74494400,5.27652800,2.89654100,0.04088200,0.01604600,0.10769100,0.32599600
91,27.84862400,0.69871200,4.64193600,1.61112000,nan,1.72085200,0.04310200,0.28679900,0.09944700,nan
92,27.22762400,0.78571200,0.29705600,2.05633600,nan,1.68247500,0.04846400,0.01833200,0.12687600,nan
93,30.97762400,1.36371200,0.57305600,1.26633600,4.70833600,1.91422500,0.08413900,0.03536800,0.07809200,0.29086000
94,53.15962400,0.53671200,0.25605600,1.86994400,0.78233600,3.28497000,0.03309500,0.01579800,0.11541600,0.04827500
95,31.33962400,0.52871200,0.48605600,2.32833600,0.64133600,1.93656200,0.03260100,0.02999100,0.14372100,0.03956100
96,28.01362400,1.01471200,0.49439200,1.86279200,0.60433600,1.73097900,0.06263500,0.03052800,0.11486800,0.03725400
97,48.62562400,0.51771200,0.19805600,1.67467200,0.61233600,3.00482100,0.03192100,0.01221400,0.10332700,0.03774700
98,32.12162400,0.89671200,0.26039200,1.70933600,0.53633600,1.98491400,0.05533400,0.01606600,0.10542300,0.03307200
99,56.39562400,0.52671200,0.17405600,1.10194400,0.53333600,3.48490000,0.03247700,0.01073100,0.06794900,0.03288600
100,27.48077600,0.67956000,3.76227200,4.83339200,nan,1.69814100,0.04187600,0.23239700,0.29858400,nan
