Device_ID,ENROLL_cpu_s,ROUND1_cpu_s,ROUND2_cpu_s,ROUND3_cpu_s,ROUND4_cpu_s,ENROLL_energy_j,ROUND1_energy_j,ROUND2_energy_j,ROUND3_energy_j,ROUND4_energy_j
81,52.30262400,4.74571200,0.19605600,1.15294400,0.51800000,3.23198600,0.29291800,0.01209000,0.07108400,0.03193900
82,59.96324800,0.64908800,0.28605600,1.50994400,1.23800000,3.70539600,0.04004000,0.01765200,0.09314400,0.07637500
83,49.80362400,0.69371200,0.32605600,1.63130400,0.49597600,3.07766200,0.04274000,0.02012000,0.10064000,0.03057700
84,46.06462400,0.93571200,0.21305600,1.37194400,1.01900000,2.84655800,0.05775300,0.01312000,0.08461800,0.06290200
85,139.38762400,nan,0.26500000,0.94212000,nan,8.61387200,nan,0.01635100,0.05812400,nan
86,55.10687200,0.75646400,0.38605600,1.54494400,0.79200000,3.40531400,0.04667500,0.02381100,0.09526900,0.04886700
87,57.81462400,4.60271200,0.28505600,1.70694400,0.55700000,3.57261300,0.28435400,0.01759100,0.10528500,0.03434900
88,46.45962400,0.60971200,0.27005600,5.36388000,nan,2.87093800,0.03760800,0.01663800,0.33132500,nan
89,30.68862400,1.16371200,0.25505600,1.66194400,0.69433600,1.89630800,0.07181800,0.01571500,0.10253600,0.04282700
90,28.04462400,0.62571200,0.21605600,1.82433600,0.69433600,1.73283000,0.03859500,0.01332600,0.11249500,0.04283600
91,59.24562400,0.48671200,0.32705600,1.58294400,0.55533600,3.66112400,0.02996500,0.02018600,0.09765500,0.03422200
92,31.74762400,0.65143200,0.24133600,1.15533600,0.71433600,1.96170200,0.04018500,0.01488900,0.07123200,0.04404700
93,29.89762400,0.58871200,0.35905600,5.26333600,0.70833600,1.84740800,0.03624700,0.02216400,0.32506700,0.04367400
94,64.46462400,0.43171200,0.27505600,1.42794400,0.66800000,3.98363200,0.02660600,0.01697300,0.08804300,0.04116600
95,57.29162400,1.40971200,0.27605600,1.08194400,0.53500000,3.54032200,0.08704600,0.01703400,0.06671800,0.03298900
96,49.04362400,0.74371200,0.27205600,1.13994400,0.92933600,3.03066800,0.04584500,0.01676600,0.07030200,0.05732700
97,67.40562400,0.54771200,0.27305600,1.29994400,0.69000000,4.16538900,0.03377500,0.01684900,0.08019000,0.04256800
98,26.37786400,1.20551200,0.59439200,2.11733600,0.49633600,1.62987600,0.07430600,0.03670800,0.13066700,0.03060000
99,24.85562400,1.44816800,0.42839200,1.19572000,0.53333600,1.53587400,0.08936500,0.02644900,0.07372300,0.03288600
100,49.63788000,0.79971200,0.31805600,1.97859200,0.63959200,3.06733300,0.04934800,0.01963000,0.12213000,0.03945300
