Device_ID,CPU_Time_s,Energy_J
81,0.817312,0.05040800
82,0.614480,0.03787280
83,0.657480,0.04053020
84,0.680280,0.04193940
85,0.666880,0.04110700
86,0.852480,0.05258140
87,0.662296,0.04082800
88,0.679280,0.04187760
89,0.612680,0.03776180
90,0.625496,0.03855360
91,0.801880,0.04945440
92,0.599680,0.03695820
93,0.626880,0.03863900
94,0.635480,0.03917080
95,0.662080,0.04081380
96,0.885080,0.05459580
97,0.631080,0.03889880
98,0.638280,0.03934380
99,0.618280,0.03810760
100,0.671480,0.04139560
