Device_ID,CPU_Time_s,Energy_J
81,0.203600,0.01254820
82,0.170600,0.01051320
83,0.180400,0.01111880
84,0.161600,0.00995680
85,0.176400,0.01087140
86,0.193400,0.01191920
87,0.167000,0.01029040
88,0.149000,0.00917800
89,0.197213,0.01215680
90,0.171800,0.01058740
91,0.168946,0.01041080
92,0.176200,0.01085900
93,0.145173,0.00894140
94,0.197200,0.01215680
95,0.190653,0.01175140
96,0.172200,0.01061200
97,0.140200,0.00863460
98,0.178800,0.01101980
99,0.171600,0.01057480
100,0.138200,0.00850980
