Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,5,20,0.172509,0.008802,0.007716,10.6305,0.5439,0.4767
Authentication,5,20,0.681943,0.007652,0.006707,42.0419,0.4730,0.4146
Key Exchange,5,20,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000
