Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,5,20,0.338028,0.013243,0.011608,20.8374,0.8181,0.7171
Authentication,5,20,0.164111,0.006714,0.005885,10.1159,0.4150,0.3638
Key Exchange,5,20,0.179924,0.011956,0.010480,11.0977,0.7389,0.6477
