Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,5,1,22.565413,8.726416,7.649041,1394.3612,539.2765,472.6967
Authentication,5,1,0.827923,0.113089,0.099127,51.0624,6.9876,6.1249
Key Exchange,5,1,0.648762,0.095276,0.083513,40.0168,5.8866,5.1598
