Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,5,1,25.142642,6.127606,5.371083,1553.6020,378.6706,331.9194
Authentication,5,1,0.294744,0.038561,0.033800,18.1728,2.3830,2.0888
Key Exchange,5,1,0.227050,0.042234,0.037020,14.0058,2.6102,2.2879
