Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,5,20,0.171413,0.010167,0.008912,10.5628,0.6282,0.5506
Authentication,5,20,0.746157,0.017402,0.015254,46.0098,1.0750,0.9422
Key Exchange,5,20,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000
