Device_ID,CPU_Time_s,Energy_J
81,0.845896,0.05217440
82,0.629496,0.03880080
83,0.841280,0.05188900
84,0.675080,0.04161820
85,0.872880,0.05383800
86,0.630680,0.03887420
87,0.879112,0.05422700
88,0.649496,0.04003660
89,0.858480,0.05295220
90,0.647296,0.03990000
91,0.853880,0.05266780
92,0.627280,0.03866400
93,0.814280,0.05022060
94,0.652880,0.04024600
95,0.935080,0.05768080
96,0.631080,0.03889860
97,0.827712,0.05105040
98,0.616280,0.03798400
99,0.818696,0.05048880
100,0.616280,0.03798420
