Device_ID,CPU_Time_s,Energy_J
81,0.203600,0.01254820
82,0.170600,0.01051320
83,0.183813,0.01132960
84,0.164000,0.01010500
85,0.174000,0.01072300
86,0.169200,0.01042400
87,0.186200,0.01147700
88,0.159000,0.00979620
89,0.164800,0.01015460
90,0.162714,0.01002540
91,0.173600,0.01069860
92,0.180314,0.01111340
93,0.177200,0.01092080
94,0.163000,0.01004320
95,0.223400,0.01377540
96,0.145200,0.00894320
97,0.145400,0.00895560
98,0.186000,0.01146480
99,0.166613,0.01026480
100,0.129600,0.00797940
