Device_ID,ENROLL_cpu_s,ROUND1_cpu_s,ROUND2_cpu_s,ROUND3_cpu_s,ROUND4_cpu_s,ENROLL_energy_j,ROUND1_energy_j,ROUND2_energy_j,ROUND3_energy_j,ROUND4_energy_j
81,52.92562400,0.83664800,0.33951200,4.72139200,1.48109600,3.27059000,0.05160200,0.02093900,0.29163900,0.09141600
82,54.30962400,0.59071200,0.38405600,0.69188000,1.10540800,3.35609600,0.03639900,0.02366700,0.04266000,0.06817400
83,54.93862400,5.07364800,0.47012000,1.29688000,1.03600000,3.39495000,0.31337300,0.02901100,0.08003100,0.06391800
84,59.50468800,0.70858400,0.57312000,1.07688000,1.44700000,3.67710900,0.04366600,0.03533400,0.06640900,0.08933000
85,65.33562400,4.42171200,0.43105600,1.04788000,0.61800000,4.03744500,0.27307100,0.02658400,0.06460300,0.03809400
86,52.11262400,0.80071200,0.51505600,1.12994400,0.76193600,3.22017400,0.04936200,0.03177500,0.06968900,0.04696600
87,29.34962400,1.37871200,0.88505600,1.17094400,0.98993600,1.81360900,0.08506000,0.05460200,0.07226600,0.06108400
88,62.79462400,1.04764800,0.36812000,1.42294400,1.26393600,3.88042600,0.06463800,0.02270700,0.08769300,0.07793600
89,27.76762400,1.18771200,0.59205600,0.95494400,0.68228800,1.71586400,0.07326400,0.03654700,0.05887700,0.04206700
90,22.71062400,0.70271200,0.45105600,1.05133600,0.61054400,1.40335300,0.04330800,0.02782000,0.06477900,0.03763300
91,47.30562400,0.77671200,1.71005600,1.02288000,1.04300000,2.92318100,0.04787900,0.10563900,0.06311600,0.06435900
92,100.32862400,nan,0.32100000,0.30300000,nan,6.19999200,nan,0.01979500,0.01868300,nan
93,50.45762400,1.10764800,0.54612000,1.05388000,4.60606400,3.11805800,0.06835400,0.03370800,0.06497900,0.28446200
94,25.31262400,1.21571200,0.29539200,0.93027200,1.02633600,1.56412300,0.07496800,0.01820900,0.05738000,0.06330400
95,30.86762400,1.11571200,0.35905600,2.52827200,0.76727200,1.90724000,0.06879400,0.02213400,0.15614500,0.04726600
96,56.59062400,1.14861600,0.55415200,1.21294400,0.91827200,3.49705500,0.07086300,0.03420400,0.07480900,0.05664700
97,31.07862400,0.75771200,0.35939200,0.76633600,0.69433600,1.92039100,0.04670300,0.02216800,0.04726100,0.04281200
98,27.79262400,0.87871200,0.34539200,1.32633600,0.60833600,1.71737600,0.05420600,0.02130300,0.08184400,0.03749200
99,47.68462400,4.86671200,0.41405600,0.80627200,0.64533600,2.94664800,0.30054600,0.02554600,0.04972900,0.03978400
100,26.04062400,1.57264800,0.56939200,0.67133600,0.58533600,1.60899000,0.09697400,0.03514600,0.04139000,0.03607600
