Round,Seeds,Avg_Devices,Avg_CPU_s,Std_CPU_s,Avg_Energy_mJ,Std_Energy_mJ
Enrollment,5,20.0,44.743698,1.935159,2764.8939,119.5968
Round 1,5,19.8,1.598284,0.364062,98.6433,22.4866
Round 2,5,20.0,0.533262,0.081783,32.9017,5.0489
Round 3,5,20.0,1.413220,0.570047,87.2098,35.2260
Round 4,5,18.8,1.565408,0.595786,96.6192,36.8082
