Device_ID,ENROLL_cpu_s,ROUND1_cpu_s,ROUND2_cpu_s,ROUND3_cpu_s,ROUND4_cpu_s,ENROLL_energy_j,ROUND1_energy_j,ROUND2_energy_j,ROUND3_energy_j,ROUND4_energy_j
81,46.11624800,1.27208800,0.57705600,0.92794400,1.09700000,2.84974800,0.07847000,0.03557600,0.05720200,0.06769600
82,52.86762400,5.25364800,3.92312000,0.37288000,nan,3.26698300,0.32454000,0.24236800,0.02300100,nan
83,50.29162400,0.72271200,0.49744800,0.62821600,0.93233600,3.10772100,0.04456500,0.03067500,0.03872700,0.05751100
84,57.12062400,4.93664800,0.44212000,0.67788000,0.79700000,3.52980600,0.30493700,0.02728100,0.04179500,0.04913500
85,31.31462400,0.68204800,0.39472000,0.58388000,0.63540000,1.93501200,0.04205200,0.02435100,0.03598600,0.03916400
86,65.29162400,0.54464800,0.53505600,0.98300800,0.67693600,4.03472100,0.03356100,0.03302400,0.06062400,0.04173600
87,51.52362400,0.75443200,0.28433600,1.91088000,0.80006400,3.18389900,0.04650100,0.01752900,0.11788500,0.04933900
88,27.98262400,4.79764800,0.51812000,0.70594400,0.73300000,1.72909500,0.29630500,0.03195200,0.04352900,0.04517800
89,53.12262400,0.78071200,0.48044800,0.83455200,0.82800000,3.28270500,0.04814100,0.02964900,0.05147700,0.05107200
90,46.76962400,0.76364800,0.47012000,0.79894400,0.71900000,2.89000700,0.04709500,0.02901100,0.04925300,0.04433600
91,27.95262400,1.14071200,0.63705600,0.86133600,0.87533600,1.72725600,0.07036600,0.03927600,0.05308200,0.05399800
92,27.32862400,1.13164800,0.49312000,1.34733600,1.38633600,1.68871200,0.06976300,0.03040700,0.08317000,0.08555400
93,30.70962400,4.63764800,0.85512000,0.64254400,4.53633600,1.89763700,0.28644100,0.05276100,0.03961100,0.28010600
94,53.46162400,0.71371200,0.48405600,3.96388000,nan,3.30366800,0.04400900,0.02984700,0.24478500,nan
95,31.36662400,1.32271200,0.71796000,1.88833600,0.77927200,1.93824300,0.08158500,0.04431400,0.11648500,0.04806100
96,28.21062400,0.87164800,0.90939200,0.95733600,0.58167200,1.74321600,0.05377000,0.05605700,0.05904200,0.03582600
97,48.81662400,0.78764800,0.39712000,1.18427200,0.87733600,3.01664100,0.04857800,0.02445000,0.07303100,0.05412100
98,32.33562400,0.70864800,0.44939200,1.17833600,0.61827200,1.99813200,0.04369600,0.02773000,0.07267700,0.03811100
99,26.54362400,0.76871200,0.32339200,0.71333600,0.73033600,1.64012900,0.04740800,0.01994300,0.04398600,0.04503700
100,58.08962400,0.77271200,0.38505600,0.86033600,0.49133600,3.58963900,0.04765500,0.02375400,0.05307100,0.03026600
