Bar,Seeds,Avg_Devices,Avg_CPU_s,Std_CPU_s,Avg_Energy_mJ,Std_Energy_mJ
Normal,5,19.8,45.772843,2.026808,2828.3650,125.2511
Recovery,5,19.8,47.731530,2.453813,2949.2297,151.6429
