Device_ID,ENROLL_cpu_s,ROUND1_cpu_s,ROUND2_cpu_s,ROUND3_cpu_s,ROUND4_cpu_s,ENROLL_energy_j,ROUND1_energy_j,ROUND2_energy_j,ROUND3_energy_j,ROUND4_energy_j
81,52.50662400,4.08771200,0.26905600,0.53594400,0.63900000,3.24456900,0.25249900,0.01658500,0.03302300,0.03939200
82,59.74562400,0.79371200,0.43205600,0.68994400,1.10500000,3.69198600,0.04890700,0.02665900,0.04254000,0.06819100
83,49.94062400,0.69071200,0.68205600,0.89099200,0.64495200,3.08612400,0.04258300,0.04210900,0.05496500,0.03976000
84,46.05262400,0.70771200,0.42705600,0.80894400,0.66300000,2.84581200,0.04363800,0.02635000,0.04989500,0.04087500
85,68.25462400,4.39864800,0.47312000,0.79394400,4.34293600,4.21787800,0.27171500,0.02919600,0.04894000,0.26822600
86,55.06862400,0.98871200,0.48905600,0.74494400,1.06600000,3.40295900,0.06095800,0.03018100,0.04588500,0.06573000
87,58.08562400,0.94371200,0.62705600,0.84394400,0.78000000,3.58939500,0.05821900,0.03871000,0.05205300,0.04810600
88,46.24562400,1.04477600,0.54099200,0.63891200,0.80003200,2.85775100,0.06444100,0.03339100,0.03936500,0.04932000
89,30.78452800,1.25280800,0.49305600,0.90694400,0.99633600,1.90219600,0.07728200,0.03042800,0.05592400,0.06147100
90,28.05962400,0.82871200,0.36605600,4.81327200,nan,1.73375300,0.05109300,0.02258000,0.29732800,nan
91,59.15262400,0.71871200,0.25905600,0.86294400,1.16127200,3.65530900,0.04431800,0.01596700,0.05323200,0.07159800
92,28.14016800,1.70316800,0.52305600,0.84533600,0.61833600,1.73883500,0.10513300,0.03228200,0.05214400,0.03811500
93,30.04962400,0.75771200,0.57605600,0.79433600,4.45033600,1.85679000,0.04668400,0.03554000,0.04894500,0.27490900
94,64.66462400,1.15264800,0.50018400,0.90588000,0.77200000,3.99598600,0.07113500,0.03081900,0.05585700,0.04761100
95,57.40562400,0.92371200,0.49805600,0.71394400,0.73033600,3.54738400,0.05698700,0.03072400,0.04397700,0.04503700
96,48.98062400,1.01371200,0.35705600,0.94994400,1.00927200,3.02676500,0.06252300,0.02202400,0.05860800,0.06227500
97,31.94662400,0.74871200,0.28639200,0.78833600,0.68533600,1.97411600,0.04615900,0.01765700,0.04862100,0.04225600
98,26.53362400,0.82571200,0.58839200,0.70527200,0.81333600,1.63952300,0.05087800,0.03629500,0.04347900,0.05015300
99,24.99766400,0.92567200,0.29139200,0.60733600,0.68833600,1.54466900,0.05710400,0.01796600,0.03741100,0.04244100
100,49.49062400,0.64771200,0.36405600,1.07768000,0.66133600,3.05816200,0.03992600,0.02243500,0.06650200,0.04077200
