Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,10,10,0.278379,0.018395,0.011401,17.1520,1.1363,0.7043
Authentication,10,10,0.199523,0.007738,0.004796,12.2873,0.4778,0.2962
Key Exchange,10,10,0.153767,0.010457,0.006481,9.4767,0.6461,0.4004
