Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,5,2,5.027012,3.778831,3.312291,310.5948,233.5173,204.6869
Authentication,5,2,0.182950,0.026485,0.023215,11.2638,1.6369,1.4348
Key Exchange,5,2,0.162373,0.023104,0.020252,10.0048,1.4239,1.2481
