Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,10,20,0.121151,0.006089,0.003774,7.4593,0.3762,0.2332
Authentication,10,20,0.652433,0.009545,0.005916,40.2193,0.5903,0.3659
Key Exchange,10,20,0.469585,0.009023,0.005592,28.9456,0.5581,0.3459
