Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,10,16,0.119400,0.004215,0.002613,7.3503,0.2604,0.1614
Authentication,10,16,0.641042,0.008447,0.005236,39.5155,0.5213,0.3231
Key Exchange,10,16,0.462445,0.010111,0.006267,28.5048,0.6245,0.3870
