Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,5,2,0.052646,0.007196,0.006308,3.2291,0.4448,0.3899
Authentication,5,2,0.522424,0.026020,0.022808,32.1837,1.6080,1.4095
Key Exchange,5,2,0.388456,0.019312,0.016927,23.9307,1.1934,1.0461
