Device_ID,CPU_Time_s,Energy_J
81,0.507023,0.031260
82,0.405923,0.025005
83,0.385823,0.023768
84,0.401212,0.024721
85,0.413023,0.025451
86,0.402223,0.024781
87,0.379112,0.023355
88,0.404412,0.024917
89,0.410012,0.025261
90,0.394134,0.024284
91,0.538334,0.033193
92,0.393612,0.024251
93,0.390534,0.024061
94,0.395634,0.024376
95,0.403623,0.024865
96,0.409612,0.025240
97,0.385112,0.023726
98,0.417612,0.025732
99,0.391812,0.024140
100,0.399123,0.024592
