Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,10,20,0.117217,0.005698,0.003532,7.2162,0.3521,0.2183
Authentication,10,20,0.576201,0.012839,0.007958,35.5073,0.7937,0.4920
Key Exchange,10,20,0.411395,0.012853,0.007966,25.3490,0.7939,0.4921
