Round,Seeds,Avg_Devices,Avg_CPU_s,Std_CPU_s,Avg_Energy_mJ,Std_Energy_mJ
Enrollment,5,3.0,12.748256,1.923412,787.7038,118.8514
Round 1,5,3.0,0.286483,0.038866,17.6054,2.3990
Round 2,5,3.0,0.161865,0.019395,9.9592,1.1991
Round 3,5,3.0,0.327614,0.054407,20.1470,3.3619
Round 4,5,3.0,0.309847,0.013402,19.0487,0.8264
