Device_ID,ENROLL_cpu_s,ROUND1_cpu_s,ROUND2_cpu_s,ROUND3_cpu_s,ROUND4_cpu_s,ENROLL_energy_j,ROUND1_energy_j,ROUND2_energy_j,ROUND3_energy_j,ROUND4_energy_j
3,11.36111200,0.27236000,0.12788000,0.27347200,0.28183200,0.70197200,0.01673600,0.00786000,0.01678700,0.01732100
4,10.83211200,0.24536000,0.19288000,0.24953600,0.29653600,0.66928400,0.01506700,0.01185600,0.01532500,0.01823000
5,10.91711200,0.23442400,0.14088000,0.23147200,0.33047200,0.67454100,0.01439100,0.00866400,0.01420900,0.02032700
