Phase,Seeds,Avg_CPU_s,Std_CPU_s,Avg_Energy_J,Std_Energy_J
Enrollment,5,0.424157,0.085498,0.026160,0.005283
Authentication,5,0.270536,0.008074,0.016676,0.000499
Key Exchange,5,0.196723,0.012144,0.012131,0.000750
