Metric,Mean,CI_95,Unit
Enrollment_Energy,0.064734,0.014205,J
Enrollment_Time,0.017033,0.003719,s
AuthAck_Avg_Energy,0.365347,0.003663,J/round
AuthAck_Avg_Time,0.096144,0.000981,s/round
