Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,10,2,0.051486,0.008589,0.005323,3.1574,0.5308,0.3290
Authentication,10,2,0.513878,0.030763,0.019067,31.6557,1.9011,1.1783
Key Exchange,10,2,0.379562,0.021476,0.013311,23.3811,1.3271,0.8226
