Seed,Device,Enroll_Energy_mJ,Enroll_CPU_s,Auth_Energy_mJ,Auth_CPU_s,Keyex_Energy_mJ,Keyex_CPU_s,Total_Energy_mJ,Total_CPU_s
234567,117,28.2300,0.457624,16.0650,0.260368,15.0780,0.244328,59.3730,0.962320
234567,118,22.9770,0.372624,12.2330,0.198368,9.1450,0.148328,44.3550,0.719320
234567,119,33.3590,0.540624,18.9690,0.307368,13.9650,0.226328,66.2930,1.074320
234567,120,31.0030,0.502624,16.7450,0.271368,11.2460,0.182328,58.9940,0.956320
345678,97,30.9330,0.501368,17.4700,0.283112,16.7310,0.271072,65.1340,1.055552
345678,98,18.6350,0.302368,7.0880,0.115112,12.3430,0.200072,38.0660,0.617552
345678,99,26.9160,0.436368,12.5260,0.203112,19.3880,0.314072,58.8300,0.953552
345678,100,17.8320,0.289368,8.0770,0.131112,9.4430,0.153144,35.3520,0.573624
345678,101,29.6360,0.480368,15.0600,0.244112,16.1740,0.262072,60.8700,0.986552
345678,102,22.0340,0.357368,11.0430,0.179112,9.5620,0.155072,42.6390,0.691552
345678,103,23.7030,0.384368,14.8130,0.240112,10.6740,0.173072,49.1900,0.797552
345678,104,19.1520,0.310736,10.4870,0.170112,9.8710,0.160072,39.5100,0.640920
345678,105,22.7760,0.369368,10.6110,0.172112,14.0110,0.227072,47.3980,0.768552
345678,106,21.5400,0.349368,10.4250,0.169112,7.9550,0.129072,39.9200,0.647552
345678,107,34.2860,0.555624,17.9810,0.291368,15.2630,0.247328,67.5300,1.094320
345678,108,30.7640,0.498624,11.4300,0.185368,14.2130,0.230328,56.4070,0.914320
345678,109,21.7250,0.352368,16.7910,0.272112,12.9610,0.210072,51.4770,0.834552
345678,110,18.2640,0.296368,9.2510,0.150112,13.1160,0.212592,40.6310,0.659072
345678,111,35.1360,0.569368,14.8750,0.241112,11.2920,0.183072,61.3030,0.993552
345678,112,22.0960,0.358368,12.4650,0.202112,13.3320,0.216072,47.8930,0.776552
345678,113,23.7650,0.385368,14.3190,0.232112,16.4220,0.266072,54.5060,0.883552
345678,114,18.5120,0.300368,8.9420,0.145112,9.8090,0.159072,37.2630,0.604552
345678,115,24.0120,0.389368,17.4700,0.283112,8.5770,0.139144,50.0590,0.811624
345678,116,26.7470,0.433624,9.8850,0.160368,12.5440,0.203328,49.1760,0.797320
345678,117,30.0220,0.486624,16.4360,0.266368,19.3420,0.313328,65.8000,1.066320
345678,118,24.9310,0.404248,14.2110,0.230368,12.2350,0.198328,51.3770,0.832944
345678,119,31.8270,0.515824,16.8680,0.273368,15.5100,0.251328,64.2050,1.040520
345678,120,39.0450,0.632624,14.4580,0.234368,14.7690,0.239328,68.2720,1.106320
456789,97,24.5060,0.397368,10.9810,0.178112,18.3820,0.298072,53.8690,0.873552
456789,98,23.5920,0.382568,11.5380,0.187112,9.1910,0.149072,44.3210,0.718752
456789,99,31.9840,0.518368,12.6900,0.206112,10.4270,0.169072,55.1010,0.893552
456789,100,17.9550,0.291368,13.1440,0.213112,15.6180,0.253072,46.7170,0.757552
456789,101,29.4500,0.477368,13.7010,0.222112,10.0560,0.163072,53.2070,0.862552
456789,102,30.9950,0.502368,6.4080,0.104112,9.3810,0.152144,46.7840,0.758624
