Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,10,24,0.411767,0.011713,0.007260,25.3944,0.7235,0.4484
Authentication,10,24,0.198522,0.009809,0.006079,12.2423,0.6065,0.3759
Key Exchange,10,24,0.215774,0.005424,0.003362,13.3129,0.3352,0.2078
