Device_ID,Energy_J,CPU_Time_s
97,0.01485050,0.240679
98,0.01078500,0.174879
99,0.01351080,0.218972
100,0.01102070,0.178679
101,0.01414730,0.229272
102,0.01043980,0.169279
103,0.01303570,0.211286
104,0.01021700,0.165672
105,0.01471630,0.238479
106,0.01029520,0.166941
107,0.01875970,0.303928
108,0.01403660,0.227490
109,0.01375800,0.222972
110,0.00865680,0.140431
111,0.01410290,0.228554
112,0.01077890,0.174765
113,0.01706450,0.276472
114,0.01059370,0.171772
115,0.01352410,0.219186
116,0.01295810,0.210026
117,0.01715020,0.277861
118,0.01404380,0.227622
119,0.01778460,0.288128
120,0.01327950,0.215228
