Seed,Device,Enroll_Energy_mJ,Enroll_CPU_s,Auth_Energy_mJ,Auth_CPU_s,Keyex_Energy_mJ,Keyex_CPU_s,Total_Energy_mJ,Total_CPU_s
123456,81,25.4950,0.413368,13.1440,0.213112,18.0280,0.292072,56.6670,0.918552
123456,82,14.4560,0.234736,12.5260,0.203112,11.1070,0.180072,38.0890,0.617920
123456,83,20.1800,0.327368,14.7510,0.239112,11.4780,0.186072,46.4090,0.752552
123456,84,25.4330,0.412368,10.0540,0.163112,9.5620,0.155072,45.0490,0.730552
123456,85,35.4450,0.574368,9.2510,0.150112,13.7640,0.223072,58.4600,0.947552
123456,86,20.8600,0.338368,8.9420,0.145112,7.5220,0.122072,37.3240,0.605552
123456,87,25.6800,0.416368,13.2680,0.215112,11.2300,0.182072,50.1780,0.813552
123456,88,20.1800,0.327368,9.4980,0.154112,9.5620,0.155072,39.2400,0.636552
123456,89,21.9110,0.355368,13.8240,0.224112,14.1350,0.229072,49.8700,0.808552
123456,90,15.4220,0.250368,10.9810,0.178112,11.0450,0.179072,37.4480,0.607552
123456,91,24.0120,0.389368,11.0430,0.179112,8.5160,0.138144,43.5710,0.706624
123456,92,19.3150,0.313368,6.4080,0.104112,7.7080,0.125072,33.4310,0.542552
123456,93,27.7820,0.450368,12.7120,0.206112,14.1350,0.229072,54.6290,0.885552
123456,94,21.7250,0.352368,10.4250,0.169112,13.8260,0.224072,45.9760,0.745552
123456,95,22.8990,0.371368,11.2290,0.182112,16.0510,0.260072,50.1790,0.813552
123456,96,21.2930,0.345368,8.3240,0.135112,11.8480,0.192072,41.4650,0.672552
123456,97,29.8210,0.483368,10.9200,0.177112,12.6520,0.205072,53.3930,0.865552
123456,98,18.1020,0.293736,8.5710,0.139112,15.4330,0.250072,42.1060,0.682920
123456,99,33.2200,0.538368,14.9370,0.242112,18.2760,0.296072,66.4330,1.076552
123456,100,14.6800,0.238368,11.8470,0.192112,8.3880,0.136072,34.9150,0.566552
234567,81,26.1750,0.424368,9.4360,0.153112,11.6630,0.189072,47.2740,0.766552
234567,82,20.2420,0.328368,10.7340,0.174112,9.5000,0.154072,40.4760,0.656552
234567,83,25.9890,0.421368,10.8030,0.175224,12.4660,0.202072,49.2580,0.798664
234567,84,20.6130,0.334368,11.7230,0.190112,9.0060,0.146072,41.3420,0.670552
234567,85,31.9130,0.517368,14.6280,0.237112,12.7750,0.207072,59.3160,0.961552
234567,86,22.2810,0.361368,9.8690,0.160112,10.3030,0.167072,42.4530,0.688552
234567,87,32.7740,0.531368,12.8350,0.208112,6.2860,0.102072,51.8950,0.841552
234567,88,15.8540,0.257368,9.6220,0.156112,6.7810,0.110072,32.2570,0.523552
234567,89,29.6360,0.480368,16.7290,0.271112,14.2590,0.231072,60.6240,0.982552
234567,90,19.1300,0.310368,7.4590,0.121112,11.0450,0.179072,37.6340,0.610552
234567,91,22.9610,0.372368,9.5600,0.155112,22.0450,0.357072,54.5660,0.884552
234567,92,19.3770,0.314368,8.3240,0.135112,10.4890,0.170072,38.1900,0.619552
234567,93,25.7420,0.417368,8.1460,0.132224,17.2870,0.280072,51.1750,0.829664
234567,94,21.8490,0.354368,10.0540,0.163112,15.1860,0.246072,47.0890,0.763552
234567,95,30.0680,0.487368,10.8370,0.176112,15.3710,0.249072,56.2760,0.912552
234567,96,25.6350,0.415640,9.0040,0.146112,11.2010,0.181592,45.8400,0.743344
234567,97,21.8300,0.354368,15.3070,0.248112,13.2080,0.214072,50.3450,0.816552
234567,98,16.9050,0.274368,6.6550,0.108112,11.2920,0.183072,34.8520,0.565552
234567,99,31.2420,0.506368,14.2570,0.231112,20.8090,0.337072,66.3080,1.074552
234567,100,22.6520,0.367368,11.1670,0.181112,9.7010,0.157328,43.5200,0.705808
345678,81,29.1640,0.472736,15.6780,0.254112,16.1130,0.261072,60.9550,0.987920
345678,82,22.9610,0.372368,9.6840,0.157112,11.8480,0.192072,44.4930,0.721552
345678,83,29.2650,0.474368,14.5660,0.236112,15.4950,0.251072,59.3260,0.961552
345678,84,27.8430,0.451368,6.5940,0.107112,12.0340,0.195072,46.4710,0.753552
345678,85,29.5740,0.479368,13.8240,0.224112,14.1970,0.230072,57.5950,0.933552
345678,86,17.9550,0.291368,8.2620,0.134112,11.9720,0.194072,38.1890,0.619552
345678,87,26.0510,0.422368,12.5950,0.204224,20.0720,0.325072,58.7180,0.951664
345678,88,21.8490,0.354368,13.0210,0.211112,9.8090,0.159072,44.6790,0.724552
345678,89,20.3490,0.330104,10.4250,0.169112,12.0960,0.196072,42.8700,0.695288
345678,90,17.7650,0.288368,10.7960,0.175112,9.6240,0.156072,38.1850,0.619552
345678,91,25.5570,0.414368,15.3070,0.248112,16.1740,0.262072,57.0380,0.924552
345678,92,15.6070,0.253368,7.1500,0.116112,14.6910,0.238072,37.4480,0.607552
345678,93,30.8720,0.500368,12.5260,0.203112,11.7870,0.191072,55.1850,0.894552
345678,94,20.9220,0.339368,7.8300,0.127112,10.1840,0.165144,38.9360,0.631624
345678,95,26.8550,0.435368,10.6720,0.173112,14.3200,0.232072,51.8470,0.840552
345678,96,23.0850,0.374368,9.4360,0.153112,12.7140,0.206072,45.2350,0.733552
345678,97,25.7420,0.417368,8.7570,0.142112,14.9380,0.242072,49.4370,0.801552
345678,98,22.2200,0.360368,12.5260,0.203112,12.4050,0.201072,47.1510,0.764552
345678,99,33.0780,0.536368,11.7230,0.190112,9.7470,0.158072,54.5480,0.884552
345678,100,24.9540,0.405368,11.3520,0.184112,8.8200,0.143072,45.1260,0.732552
456789,81,28.4610,0.461368,11.0430,0.179112,15.1860,0.246072,54.6900,0.886552
456789,82,20.2420,0.328368,9.2580,0.150224,8.8200,0.143072,38.3200,0.621664
456789,83,25.0010,0.405368,12.7120,0.206112,15.4330,0.250072,53.1460,0.861552
456789,84,18.1410,0.294368,10.7340,0.174112,12.8990,0.209072,41.7740,0.677552
456789,85,24.0740,0.390368,12.4030,0.201112,13.2700,0.215072,49.7470,0.806552
456789,86,21.9110,0.355368,6.2920,0.102224,12.8370,0.208072,41.0400,0.665664
456789,87,25.9890,0.421368,10.6110,0.172112,15.3140,0.248144,51.9140,0.841624
456789,88,16.7810,0.272368,10.9810,0.178112,9.3760,0.152072,37.1380,0.602552
456789,89,25.7650,0.417736,15.9870,0.259112,13.2700,0.215072,55.0220,0.891920
456789,90,15.2360,0.247368,9.2510,0.150112,9.0480,0.146760,33.5350,0.544240
456789,91,24.4440,0.396368,13.5150,0.219112,18.3990,0.298072,56.3580,0.913552
456789,92,17.5850,0.285368,9.3130,0.151112,8.0790,0.131072,34.9770,0.567552
456789,93,29.8210,0.483368,11.4760,0.186112,12.8370,0.208072,54.1340,0.877552
456789,94,23.8880,0.387368,10.2400,0.166112,9.2530,0.150072,43.3810,0.703552
456789,95,24.2400,0.393368,14.8750,0.241112,14.1970,0.230072,53.3120,0.864552
456789,96,19.5620,0.317368,11.2900,0.183112,7.8310,0.127072,38.6830,0.627552
456789,97,24.5680,0.398368,16.9140,0.274112,13.0840,0.212072,54.5660,0.884552
456789,98,22.3660,0.362736,12.7740,0.207112,9.6240,0.156072,44.7640,0.725920
456789,99,20.7980,0.337368,18.4590,0.299112,12.4660,0.202072,51.7230,0.838552
456789,100,21.9720,0.356368,8.5090,0.138112,9.5620,0.155072,40.0430,0.649552
567890,81,29.1020,0.471736,10.8580,0.176112,14.6290,0.237072,54.5890,0.884920
567890,82,18.7590,0.304368,9.0660,0.147112,12.2810,0.199072,40.1060,0.650552
567890,83,26.1750,0.424368,7.8300,0.127112,11.7250,0.190072,45.7300,0.741552
567890,84,24.3850,0.395368,10.1780,0.165112,7.7700,0.126072,42.3330,0.686552
567890,85,27.9050,0.452368,12.7120,0.206112,14.8150,0.240072,55.4320,0.898552
567890,86,23.4560,0.380368,9.4360,0.153112,12.3430,0.200072,45.2350,0.733552
567890,87,28.0290,0.454368,14.7510,0.239112,16.1740,0.262072,58.9540,0.955552
567890,88,20.2420,0.328368,11.8470,0.192112,11.9720,0.194072,44.0610,0.714552
567890,89,24.5060,0.397368,9.9310,0.161112,13.2080,0.214072,47.6450,0.772552
567890,90,21.5400,0.349368,5.2960,0.086112,10.0560,0.163072,36.8920,0.598552
567890,91,25.8040,0.418368,16.2340,0.263112,17.6580,0.286072,59.6960,0.967552
567890,92,19.2530,0.312368,6.7130,0.109048,10.8600,0.176072,36.8260,0.597488
567890,93,25.2480,0.409368,13.8860,0.225112,12.3430,0.200072,51.4770,0.834552
567890,94,16.9280,0.274736,7.3350,0.119112,7.1520,0.116072,31.4150,0.509920
567890,95,24.6300,0.399368,11.8470,0.192112,15.4330,0.250072,51.9100,0.841552
567890,96,16.7190,0.271368,12.2170,0.198112,8.3260,0.135072,37.2620,0.604552
567890,97,22.3430,0.362368,15.3070,0.248112,11.1690,0.181072,48.8190,0.791552
567890,98,14.4330,0.234368,9.6840,0.157112,8.4540,0.137144,32.5710,0.528624
567890,99,18.6350,0.302368,12.4650,0.202112,12.2810,0.199072,43.3810,0.703552
567890,100,21.6020,0.350368,9.8070,0.159112,8.7580,0.142072,40.1670,0.651552
