Device_ID,Energy_J,CPU_Time_s
81,0.02767940,0.448715
82,0.01933200,0.313642
83,0.02532200,0.410568
84,0.02328300,0.377568
85,0.02978220,0.482768
86,0.02129260,0.345368
87,0.02770460,0.449168
88,0.01898120,0.307968
89,0.02443340,0.396189
90,0.01781860,0.289168
91,0.02455560,0.398168
92,0.01822740,0.295768
93,0.02789300,0.452168
94,0.02106240,0.341642
95,0.02573840,0.417368
96,0.02125880,0.344822
97,0.02486080,0.403168
98,0.01880520,0.305115
99,0.02739460,0.444168
100,0.02117200,0.343568
