Device_ID,Energy_J,CPU_Time_s
81,0.01203180,0.195112
82,0.01025360,0.166334
83,0.01213240,0.196734
84,0.00985660,0.159912
85,0.01256360,0.203712
86,0.00856020,0.138934
87,0.01281200,0.207734
88,0.01099380,0.178312
89,0.01337920,0.216912
90,0.00875660,0.142112
91,0.01313180,0.212912
92,0.00758160,0.123099
93,0.01174920,0.190534
94,0.00917680,0.148912
95,0.01189200,0.192912
96,0.01005420,0.163112
97,0.01344100,0.217912
98,0.01004200,0.162912
99,0.01436820,0.232912
100,0.01053640,0.170912
