Device_ID,Energy_J,CPU_Time_s
81,0.01512380,0.245072
82,0.01071120,0.173672
83,0.01331940,0.215872
84,0.01025420,0.166272
85,0.01376420,0.223072
86,0.01099540,0.178272
87,0.01381520,0.223886
88,0.00950000,0.154072
89,0.01339360,0.217072
90,0.01016360,0.164810
91,0.01655840,0.268286
92,0.01036540,0.168072
93,0.01367780,0.221672
94,0.01112020,0.180286
95,0.01507440,0.244272
96,0.01038400,0.168376
97,0.01301020,0.210872
98,0.01144160,0.185486
99,0.01471580,0.238472
100,0.00904580,0.146723
