Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,5,20,0.378354,0.015704,0.013765,23.3299,0.9691,0.8494
Authentication,5,20,0.181097,0.006409,0.005618,11.1656,0.3963,0.3474
Key Exchange,5,20,0.199730,0.006947,0.006089,12.3217,0.4294,0.3764
