Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,10,20,0.119011,0.008090,0.005014,7.3270,0.4999,0.3098
Authentication,10,20,0.595650,0.013242,0.008208,36.7100,0.8180,0.5070
Key Exchange,10,20,0.427596,0.014284,0.008854,26.3505,0.8824,0.5469
