Round,Seeds,Avg_Devices,Avg_CPU_s,Std_CPU_s,Avg_Energy_mJ,Std_Energy_mJ
Enrollment,5,3.0,12.530791,1.875690,774.2697,115.9026
Round 1,5,3.0,0.404038,0.457430,24.9186,28.2640
Round 2,5,3.0,0.110428,0.009924,6.7985,0.6134
Round 3,5,3.0,0.461841,0.028447,28.4205,1.7580
Round 4,5,3.0,0.177667,0.013915,10.9308,0.8600
