Device_ID,ENROLL_cpu_s,ROUND1_cpu_s,ROUND2_cpu_s,ROUND3_cpu_s,ROUND4_cpu_s,ENROLL_energy_j,ROUND1_energy_j,ROUND2_energy_j,ROUND3_energy_j,ROUND4_energy_j
3,11.33819200,0.27534400,0.09488000,0.51053600,0.28053600,0.70058600,0.01694000,0.00583800,0.03140700,0.01724300
4,12.27411200,0.19142400,0.11188000,0.41153600,0.20253600,0.75842500,0.01175800,0.00688800,0.02528900,0.01244500
5,11.75511200,0.18842400,0.08788000,0.67953600,0.26253600,0.72634800,0.01157300,0.00540500,0.04184700,0.01615300
