Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,5,20,0.347651,0.010210,0.008950,21.4329,0.6314,0.5535
Authentication,5,20,0.252842,0.007335,0.006430,15.5826,0.4533,0.3973
Key Exchange,5,20,0.184451,0.004986,0.004371,11.3728,0.3085,0.2704
