Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,10,24,0.150703,0.006321,0.003918,9.2840,0.3903,0.2419
Authentication,10,24,0.711091,0.017333,0.010743,43.8436,1.0710,0.6638
Key Exchange,10,24,0.510920,0.013785,0.008544,31.4998,0.8516,0.5278
