Device_ID,CPU_Time_s,Energy_J
97,0.210700,0.01299120
98,0.206500,0.01273170
99,0.189700,0.01169260
100,0.189506,0.01168120
101,0.197179,0.01215520
102,0.189800,0.01169540
103,0.201707,0.01243550
104,0.161400,0.00994440
105,0.201944,0.01245000
106,0.158406,0.00975900
107,0.276056,0.01703020
108,0.257232,0.01586680
109,0.143300,0.00881810
110,0.171100,0.01054380
111,0.186013,0.01146340
112,0.161800,0.00996910
113,0.179000,0.01102780
114,0.165200,0.01017930
115,0.196900,0.01213800
116,0.237086,0.01462190
117,0.286256,0.01766060
118,0.242256,0.01494130
119,0.253363,0.01562560
120,0.249856,0.01540890
