Phase,Seeds,n_devices,Avg_CPU_s,Std_CPU_s,CI95_CPU_s,Avg_Energy_mJ,Std_Energy_mJ,CI95_Energy_mJ
Enrollment,10,24,0.204678,0.009537,0.005911,12.6180,0.5890,0.3651
Authentication,10,23,0.802659,0.014064,0.008717,49.5009,0.8692,0.5387
Key Exchange,10,24,0.604514,0.010304,0.006386,37.2822,0.6370,0.3948
