Device_ID,CPU_Time_s,Energy_J
97,0.874180,0.05392240
98,0.832280,0.05132930
99,0.829988,0.05119080
100,0.853988,0.05267230
101,0.856380,0.05282240
102,0.855580,0.05277100
103,0.793980,0.04896340
104,0.850280,0.05244530
105,0.839596,0.05178260
106,0.849804,0.05241580
107,1.064570,0.06568840
108,1.053136,0.06498190
109,0.658188,0.04057180
110,0.635480,0.03916930
111,0.661780,0.04079020
112,0.648480,0.03997410
113,0.610088,0.03759960
114,0.637080,0.03926970
115,0.643880,0.03968990
116,0.863636,0.05326570
117,0.827203,0.05101900
118,0.864836,0.05334490
119,0.856736,0.05284180
120,0.894970,0.05520720
